Party,GHG emissions 2008-2012 including LULUCF (percentage),GHG emissions 2008-2012 excluding LULUCF (percentage),1990 with LULUCF,1990 without LULUCF,GHG emissions 2008-2012 including LULUCF goal,GHG emissions 2008-2012 excluding LULUCF goal
Australia,3.2,30.3,617651.01,424998.38,637415.84232,438598.32816
Austria,3.2,4.9,66504.17,78492.61,68632.30344,81004.37352
Belarus,NaN,NaN,117201.41,137766.41,NaN,NaN
Belgium,-13.9,-14,143236.76,146474.44,123326.85036,126114.49284
Bulgaria,-53.4,-52.8,82470.44,101794.34,38431.22504,47436.16244
Canada,18.5,18.5,543595.16,603221.87,644160.2646,714817.91595
Croatia,-10.8,-7.5,25454.4,31875.85,22705.3248,28433.2582
Cyprus,NaN,NaN,5471.47,5690.44,NaN,NaN
Czechia,-30.6,-30,191515.91,197202.55,132912.04154,136858.5697
Denmark,-17.3,-14.8,77456.85,71000.02,64056.81495,58717.01654
Estonia,-54.2,-55.3,38650.99,40277.31,17702.15342,18447.00798
European Union,NaN,NaN,5393049.9,5647955.14,NaN,NaN
Finland,-5.5,-4.7,56299.6,71065.26,53203.122,67156.6707
France,-10.5,-10,529805.82,551404.78,474176.2089,493507.2781
Germany,-24.3,-23.6,1220646.04,1249458.56,924029.05228,945840.12992
Greece,11.5,11.9,101201,103308.91,112839.115,115189.43465
Hungary,-43.7,-41.8,91333.81,93950.88,51420.93503,52894.34544
Iceland,10.2,19.4,13076.41,3732.87,14410.20382,4113.62274
Ireland,11,5.1,60388.94,55468.3,67031.7234,61569.813
Italy,-7,-4,512495.82,516051.74,476621.1126,479928.1182
Japan,-2.5,1.4,1207821.34,1270039.97,1177625.8065,1238288.97075
Kazakhstan,NaN,NaN,386251.88,401871.42,NaN,NaN
Latvia,-61.2,-56.4,16079.86,26288.57,6238.98568,10199.96516
Liechtenstein,4.1,2.4,235.34,228.39,244.98894,237.75399
Lithuania,-57.9,-55.6,42438.19,48016.43,17866.47799,20214.91703
Luxembourg,-9.3,-8.7,12842.31,12741.06,11647.97517,11556.14142
Malta,NaN,NaN,2574.17,2570.37,NaN,NaN
Monaco,-12.5,-12.5,102.74,102.74,89.8975,89.8975
Netherlands,-6.2,-6.4,227232.61,220740.87,213144.18818,207054.93606
New Zealand,-2.7,20.4,35293.89,63590.93,34340.95497,61873.97489
Norway,4.6,7.5,41367.37,51459.02,43270.26902,53826.13492
Poland,-29.7,-28.8,442646.59,475080.32,311180.55277,333981.46496
Portugal,5.5,22.4,59707.07,58558.61,62990.95885,61779.33355
Romania,-57,-55.7,229076.81,247994.3,98503.0283,106637.549
Russian Federation,-36.3,-32.7,3109544.28,3187507.08,1980779.70636,2030442.00996
Slovakia,-37.2,-36.8,63841.08,73517.13,40092.19824,46168.75764
Slovenia,-9.7,-3.2,14249.31,18609.59,12867.12693,16804.45977
Spain,20,23.7,253435.42,289383.33,304122.504,347259.996
Sweden,-18.2,-15.3,36697.11,71184.93,30018.23598,58229.27274
Switzerland,-3.9,-0.8,51844.22,53778.9,49822.29542,51681.5229
Turkey,NaN,NaN,163590.81,219367.81,NaN,NaN
Ukraine,-57.1,-56.6,882880.8,942072.46,378755.8632,404149.08534
United Kingdom of Great Britain and Northern Ireland,-23,-22.6,797944.51,797812.04,614417.2727,614315.2708
United States of America,9.5,9.5,5583629.72,6437000.13,6114074.5434,7048515.14235
