Party,Kyoto target 2008-2012,Kyoto target 2013-2020,1990 with LULUCF,1990 without LULUCF,GHG emissions 2008-2012 including LULUCF goal,GHG emissions 2008-2012 excluding LULUCF goal,GHG emissions 2013-2020 including LULUCF goal,GHG emissions 2013-2020 excluding LULUCF goal
Australia,8,-0.5,617651.01,424998.38,667063.0908,458998.2504,614562.75495,422873.3881
Austria,-13,-20,66504.17,78492.61,57858.6279,68288.5707,53203.336,62794.088
Belarus,NaN,NaN,117201.41,137766.41,NaN,NaN,NaN,NaN
Belgium,-8,-20,143236.76,146474.44,131777.8192,134756.4848,114589.408,117179.552
Bulgaria,-8,-20,82470.44,101794.34,75872.8048,93650.7928,65976.352,81435.472
Canada,-6,NaN,543595.16,603221.87,510979.4504,567028.5578,NaN,NaN
Croatia,-5,-20,25454.4,31875.85,24181.68,30282.0575,20363.52,25500.68
Cyprus,NaN,NaN,5471.47,5690.44,NaN,NaN,NaN,NaN
Czechia,-8,-20,191515.91,197202.55,176194.6372,181426.346,153212.728,157762.04
Denmark,-21,-20,77456.85,71000.02,61190.9115,56090.0158,61965.48,56800.016
Estonia,-8,-20,38650.99,40277.31,35558.9108,37055.1252,30920.792,32221.848
European Union,NaN,NaN,5393049.9,5647955.14,NaN,NaN,NaN,NaN
Finland,0,-20,56299.6,71065.26,56299.6,71065.26,45039.68,56852.208
France,0,-20,529805.82,551404.78,529805.82,551404.78,423844.656,441123.824
Germany,-21,-20,1220646.04,1249458.56,964310.3716,987072.2624,976516.832,999566.848
Greece,25,-20,101201,103308.91,126501.25,129136.1375,80960.8,82647.128
Hungary,-6,-20,91333.81,93950.88,85853.7814,88313.8272,73067.048,75160.704
Iceland,10,-20,13076.41,3732.87,14384.051,4106.157,10461.128,2986.296
Ireland,13,-20,60388.94,55468.3,68239.5022,62679.179,48311.152,44374.64
Italy,-6,-20,512495.82,516051.74,481746.0708,485088.6356,409996.656,412841.392
Japan,-6,NaN,1207821.34,1270039.97,1135352.0596,1193837.5718,NaN,NaN
Kazakhstan,NaN,NaN,386251.88,401871.42,NaN,NaN,NaN,NaN
Latvia,-8,-20,16079.86,26288.57,14793.4712,24185.4844,12863.888,21030.856
Liechtenstein,-8,-16,235.34,228.39,216.5128,210.1188,197.6856,191.8476
Lithuania,-8,-20,42438.19,48016.43,39043.1348,44175.1156,33950.552,38413.144
Luxembourg,-28,-20,12842.31,12741.06,9246.4632,9173.5632,10273.848,10192.848
Malta,NaN,NaN,2574.17,2570.37,NaN,NaN,NaN,NaN
Monaco,-8,-22,102.74,102.74,94.5208,94.5208,80.1372,80.1372
Netherlands,-6,-20,227232.61,220740.87,213598.6534,207496.4178,181786.088,176592.696
New Zealand,0,NaN,35293.89,63590.93,35293.89,63590.93,NaN,NaN
Norway,1,-16,41367.37,51459.02,41781.0437,51973.6102,34748.5908,43225.5768
Poland,-6,-20,442646.59,475080.32,416087.7946,446575.5008,354117.272,380064.256
Portugal,27,-20,59707.07,58558.61,75827.9789,74369.4347,47765.656,46846.888
Romania,-8,-20,229076.81,247994.3,210750.6652,228154.756,183261.448,198395.44
Russian Federation,0,NaN,3109544.28,3187507.08,3109544.28,3187507.08,NaN,NaN
Slovakia,-8,-20,63841.08,73517.13,58733.7936,67635.7596,51072.864,58813.704
Slovenia,-8,-20,14249.31,18609.59,13109.3652,17120.8228,11399.448,14887.672
Spain,15,-20,253435.42,289383.33,291450.733,332790.8295,202748.336,231506.664
Sweden,4,-20,36697.11,71184.93,38164.9944,74032.3272,29357.688,56947.944
Switzerland,-8,-15.8,51844.22,53778.9,47696.6824,49476.588,43652.83324,45281.8338
Turkey,NaN,NaN,163590.81,219367.81,NaN,NaN,NaN,NaN
Ukraine,0,-24,882880.8,942072.46,882880.8,942072.46,670989.408,715975.0696
United Kingdom of Great Britain and Northern Ireland,-13,-20,797944.51,797812.04,694211.7237,694096.4748,638355.608,638249.632
United States of America,-7,NaN,5583629.72,6437000.13,5192775.6396,5986410.1209,NaN,NaN
