country,code,emission
Australia,AUS,593537.55
Austria,AUT,78835.78
Belarus,BLR,52912.65
Belgium,BEL,133699.28
Bulgaria,BGR,48066.69
Canada,CAN,665287.1
Croatia,HRV,21107.73
Cyprus,CYP,9120.01
Czechia,CZE,133660.3
Denmark,DNK,65200.89
Estonia,EST,17279.56
Finland,FIN,53187.36
France,FRA,480111.14
Germany,DEU,922674.52
Greece,GRC,115479.17
Hungary,HUN,60534.82
Iceland,ISL,14190.67
Ireland,IRL,66810.06
Italy,ITA,471781.75
Japan,JPN,1232102.37
Kazakhstan,KAZ,302537.44
Latvia,LVA,12068.1
Liechtenstein,LIE,249.27
Lithuania,LTU,10602.75
Luxembourg,LUX,12049.58
Malta,MLT,2986.53
Monaco,MCO,87.84
Netherlands,NLD,218556.13
New Zealand,NZL,49360.38
Norway,NOR,29009.22
Poland,POL,378411.95
Portugal,PRT,57547.93
Romania,ROU,103455.22
Russian Federation,RUS,1334729.12
Slovakia,SVK,40257.64
Slovenia,SVN,13429.75
Spain,ESP,321583.33
Sweden,SWE,19359.65
Switzerland,CHE,52296.52
Turkey,TUR,325463.11
Ukraine,UKR,375572.87
United Kingdom of Great Britain and Northern Ireland,GBR,605642.28
United States of America,USA,6241086.07
